Date,Correlation
2000-12-13,0.13037176983276097
2000-12-14,0.13034167891753126
2000-12-15,0.12325190203668299
2000-12-18,0.11982787509626233
2000-12-19,0.10591943537260178
2000-12-20,0.11381109992452279
2000-12-21,0.11202297348061106
2000-12-22,0.10977713655781048
2000-12-26,0.11840415813514706
2000-12-27,0.11268127939476112
2000-12-28,0.10847441350350326
2000-12-29,0.10534847415274562
2001-01-02,0.10919047609106072
2001-01-03,0.09569771435307231
2001-01-04,0.09806726440122296
2001-01-05,0.09563815009233582
2001-01-08,0.09343085881980191
2001-01-09,0.10469770359799437
2001-01-10,0.1366565558508541
2001-01-11,0.13435991375670456
2001-01-12,0.15184919457965415
2001-01-16,0.15282163066089968
2001-01-17,0.15664933145388713
2001-01-18,0.16525260258136587
2001-01-19,0.1673391758512371
2001-01-22,0.17001418622322903
2001-01-23,0.17054411279028853
2001-01-24,0.17812962873150928
2001-01-25,0.1918227603914099
2001-01-26,0.20127736725762885
2001-01-29,0.20229947971954315
2001-01-30,0.20249622905321032
2001-01-31,0.20688747478846964
2001-02-01,0.20927226376591998
2001-02-02,0.2203477800628094
2001-02-05,0.22042883208411995
2001-02-06,0.23491164973709358
2001-02-07,0.2431714123842874
2001-02-08,0.24794944223871374
2001-02-09,0.25497118467864854
2001-02-12,0.25935232798714913
2001-02-13,0.25974896868701175
2001-02-14,0.2612701657551933
2001-02-15,0.26240647833105685
2001-02-16,0.2677958322023151
2001-02-20,0.2683317633019253
2001-02-21,0.27780230178544874
2001-02-22,0.2743251791763023
2001-02-23,0.27531087343086896
2001-02-26,0.27674644088426914
2001-02-27,0.26793113193303686
2001-02-28,0.26916262648048506
2001-03-01,0.27019799078238055
2001-03-02,0.27144500288233
2001-03-05,0.2709017771458297
2001-03-06,0.2773744689417976
2001-03-07,0.28092187944676056
2001-03-08,0.27979407416485874
2001-03-09,0.2775368605840044
2001-03-12,0.2712050333352944
2001-03-13,0.2453241963915641
2001-03-14,0.2523052026897503
2001-03-15,0.2341499791809856
2001-03-16,0.2344020840083809
2001-03-19,0.2561139339653481
2001-03-20,0.24891982349494154
2001-03-21,0.24587943219271735
2001-03-22,0.23882125993283207
2001-03-23,0.2366236823387508
2001-03-26,0.2383961421360169
2001-03-27,0.22669400145803756
2001-03-28,0.22533292766986301
2001-03-29,0.22474642361163255
2001-03-30,0.22791225923101874
2001-04-02,0.22561734168761666
2001-04-03,0.22450108629486046
2001-04-04,0.21275203545530388
2001-04-05,0.21522446352685753
2001-04-06,0.2072624969405423
2001-04-09,0.19718567840408743
2001-04-10,0.19340395805560687
2001-04-11,0.18688304710109596
2001-04-12,0.18247846710155366
2001-04-16,0.1824396000294713
2001-04-17,0.1975162010662953
2001-04-18,0.19354466487878952
2001-04-19,0.18424967230523723
2001-04-20,0.18640930409664255
2001-04-23,0.18569491535162477
2001-04-24,0.18225309982807128
2001-04-25,0.1810006685725946
2001-04-26,0.17797868906858053
2001-04-27,0.17942963779964743
2001-04-30,0.17698354451427656
2001-05-01,0.1823120156221208
2001-05-02,0.17916479855143955
2001-05-03,0.17965558419306737
2001-05-04,0.1722636170475409
2001-05-07,0.16838751826281811
2001-05-08,0.17905586591960362
2001-05-09,0.17986141729509478
2001-05-10,0.1802962296344302
2001-05-11,0.1789661177563906
2001-05-14,0.18363444921574595
2001-05-15,0.18381972089199894
2001-05-16,0.18495906444573115
2001-05-17,0.15424889771596284
2001-05-18,0.15395390414491206
2001-05-21,0.15493089993157977
2001-05-22,0.15440131559592055
2001-05-23,0.15855799821852953
2001-05-24,0.15898007943654255
2001-05-25,0.17039409030511996
2001-05-29,0.16550701740671694
2001-05-30,0.1655546670702201
2001-05-31,0.1609690371434646
2001-06-01,0.16011880486107197
2001-06-04,0.15932660233703272
2001-06-05,0.1587523817116372
2001-06-06,0.1562252659948728
2001-06-07,0.15573555964958916
2001-06-08,0.15661771931251706
2001-06-11,0.1640918282571592
2001-06-12,0.1633744282222541
2001-06-13,0.1649105250074122
2001-06-14,0.1629057486068312
2001-06-15,0.14450472579429027
2001-06-18,0.1446011589886758
2001-06-19,0.14581605219602137
2001-06-20,0.152024638548464
2001-06-21,0.15059161518483657
2001-06-22,0.15359286665012362
2001-06-25,0.15685299351057813
2001-06-26,0.15384363359779152
2001-06-27,0.15659751303568
2001-06-28,0.15982211210824604
2001-06-29,0.1647656261898147
2001-07-02,0.17184467917366433
2001-07-03,0.17404699110054966
2001-07-05,0.17415355981514982
2001-07-06,0.17469729481037827
2001-07-09,0.16219316920471175
2001-07-10,0.16746498234122514
2001-07-11,0.17491885965641663
2001-07-12,0.1751152639466172
2001-07-13,0.20595573496505168
2001-07-16,0.200529190907004
2001-07-17,0.20033098542091574
2001-07-18,0.20061667463321078
2001-07-19,0.19843129922295583
2001-07-20,0.2201729713454836
2001-07-23,0.22571288857500685
2001-07-24,0.22244407715785017
2001-07-25,0.22692487617022614
2001-07-26,0.23382866740678923
2001-07-27,0.2339975511334327
2001-07-30,0.23928762889659563
2001-07-31,0.24410193809969438
2001-08-01,0.24287001279596285
2001-08-02,0.2440129658174801
2001-08-03,0.24631511299101347
2001-08-06,0.24749331573080374
2001-08-07,0.24811374059604702
2001-08-08,0.2470248732803991
2001-08-09,0.24681853293757486
2001-08-10,0.24755930121679143
2001-08-13,0.24739157842402304
2001-08-14,0.25472285863939076
2001-08-15,0.2575454888757935
2001-08-16,0.26115883274044904
2001-08-17,0.2657790918858002
2001-08-20,0.2634593717314112
2001-08-21,0.26255010188681394
2001-08-22,0.2680569047826304
2001-08-23,0.2654343523277094
2001-08-24,0.27481012333424226
2001-08-27,0.2757154497187293
2001-08-28,0.2748717504047589
2001-08-29,0.28011141904556874
2001-08-30,0.2774821303185821
2001-08-31,0.27766646961745467
2001-09-04,0.2802343616185564
2001-09-05,0.28198548211075875
2001-09-06,0.2826602279536406
2001-09-07,0.2807491344732423
